name,appid,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,genre,tags
Red Faction Guerrilla Steam Edition,20500,"Volition, Reactor Zero, THQ Nordic",Deep Silver,6632,693,"500,000 .. 1,000,000",561,0,341,0,1999,1999,0,15,Action,"{'Open World': 355, 'Action': 304, 'Destruction': 304, 'Physics': 233, 'Sci-fi': 183, 'Third Person': 175, 'Mars': 159, 'Third-Person Shooter': 148, 'Multiplayer': 135, 'Singleplayer': 131, 'Sandbox': 102, 'Shooter': 92, 'Adventure': 76, 'Atmospheric': 48, 'Co-op': 35, 'Great Soundtrack': 31, 'Controller': 26, 'Survival': 21, 'FPS': 15, 'Funny': 13}"
Viking: Battle for Asgard,211160,"Creative Assembly, PC Port - Hardlight",SEGA,972,1084,"1,000,000 .. 2,000,000",41,0,49,0,1499,1499,0,1,"Action, Adventure","{'Action': 114, 'Adventure': 91, 'Hack and Slash': 72, 'Singleplayer': 54, 'Third Person': 49, 'Fantasy': 48, 'Open World': 46, 'Strategy': 30, 'Mythology': 25, 'Controller': 23, 'RPG': 12, 'Gore': 10, 'Action RPG': 8}"
Dungeons 2,262280,Realmforge Studios,Kalypso Media Digital,3660,871,"1,000,000 .. 2,000,000",390,0,275,0,1999,1999,0,0,"RPG, Simulation, Strategy","{'Strategy': 167, 'RPG': 107, 'Management': 101, 'Fantasy': 92, 'Dungeon Crawler': 89, 'RTS': 79, 'Comedy': 76, 'Villain Protagonist': 74, 'Simulation': 72, 'Multiplayer': 42, 'Singleplayer': 42, 'Funny': 31, 'Competitive': 30, 'Base-Building': 24, 'Top-Down': 17, 'Building': 13, 'God Game': 12, 'Tower Defense': 7, 'Sandbox': 7}"
F.E.A.R. 2: Project Origin,16450,Monolith,Warner Bros. Interactive Entertainment,4471,684,"1,000,000 .. 2,000,000",318,0,365,0,1499,1499,0,30,Action,"{'Horror': 280, 'FPS': 215, 'Action': 198, 'Singleplayer': 112, 'Shooter': 100, 'Gore': 93, 'Psychological Horror': 85, 'Bullet Time': 82, 'Multiplayer': 81, 'First-Person': 81, 'Atmospheric': 43, 'Co-op': 30, 'Sci-fi': 29, 'Classic': 24, 'Story Rich': 17, 'Mechs': 12, 'Sequel': 12, 'Survival Horror': 8, 'Nudity': 8, 'Open World': 7}"
Deponia,214340,Daedalic Entertainment,Daedalic Entertainment,8637,1127,"1,000,000 .. 2,000,000",395,633,244,633,999,999,0,39,"Adventure, Indie","{'Adventure': 473, 'Point & Click': 448, 'Comedy': 360, 'Puzzle': 234, 'Singleplayer': 223, 'Funny': 174, 'Indie': 158, 'Story Rich': 147, '2D': 117, 'Dark Humor': 94, 'Great Soundtrack': 81, 'Hand-drawn': 72, 'Steampunk': 53, 'Classic': 43, 'Retro': 40, 'Sci-fi': 24, 'Dystopian ': 20, 'Cult Classic': 15, ""1990's"": 12, 'Atmospheric': 11}"
Five Nights at Freddy's,319510,Scott Cawthon,Scott Cawthon,20565,2250,"1,000,000 .. 2,000,000",116,0,90,0,499,499,0,55,"Indie, Simulation","{'Horror': 2566, 'Singleplayer': 1551, 'Survival Horror': 1510, 'Robots': 1357, 'Psychological Horror': 1354, 'Difficult': 1245, 'Indie': 1204, 'First-Person': 1143, 'Point & Click': 1121, 'Dark': 1121, 'Survival': 977, 'Atmospheric': 698, 'Mouse only': 630, 'Supernatural': 397, 'Resource Management': 395, 'Silent Protagonist': 344, 'Short': 274, 'Lore-Rich': 273, 'Historical': 172, 'Gore': 113}"
Assassin's Creed Syndicate,368500,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,13531,3807,"1,000,000 .. 2,000,000",1285,0,1162,0,2999,2999,0,619,"Action, Adventure","{'Assassin': 792, 'Open World': 678, 'Action': 645, 'Stealth': 569, 'Parkour': 566, 'Historical': 514, 'Adventure': 490, 'Third Person': 428, 'Singleplayer': 386, 'Story Rich': 324, 'Female Protagonist': 246, 'Atmospheric': 226, 'Steampunk': 177, 'Multiplayer': 146, 'Great Soundtrack': 128, 'Strategy': 111, 'Gore': 87, 'Funny': 82, 'Illuminati': 64, 'Co-op': 57}"
METAL GEAR SOLID V: GROUND ZEROES,311340,Konami Digital Entertainment,Konami Digital Entertainment,9775,2078,"1,000,000 .. 2,000,000",253,0,181,0,1999,1999,0,73,"Action, Adventure","{'Stealth': 795, 'Action': 644, 'Tactical': 441, 'Short': 434, 'Singleplayer': 411, 'Third Person': 374, 'Story Rich': 366, 'Cinematic': 324, 'Open World': 298, 'Replay Value': 269, 'Atmospheric': 241, 'Adventure': 227, 'Great Soundtrack': 227, 'Third-Person Shooter': 201, 'Shooter': 179, 'Sandbox': 130, 'Classic': 90, 'Cold War': 85, 'Dark': 69, 'Multiplayer': 39}"
RollerCoaster Tycoon 3: Platinum,2700,"Frontier, Aspyr (Mac)","Atari, Aspyr (Mac)",4140,432,"1,000,000 .. 2,000,000",413,67,326,67,0,0,0,72,"Simulation, Strategy","{'Simulation': 303, 'Management': 268, 'Sandbox': 207, 'Building': 196, 'Strategy': 142, 'Singleplayer': 117, 'Economy': 87, 'Classic': 81, 'Real-Time with Pause': 71, 'Family Friendly': 53, 'Funny': 50, 'Moddable': 39, 'Multiplayer': 33, 'City Builder': 31, 'Great Soundtrack': 24, 'Open World': 24, 'Comedy': 23, 'Casual': 21, 'Free to Play': 18, 'Adventure': 9}"
The Surge,378540,Deck13,Focus Home Interactive,5354,1781,"1,000,000 .. 2,000,000",529,0,200,0,1999,1999,0,55,"Action, RPG","{'Souls-like': 394, 'Action': 190, 'RPG': 176, 'Sci-fi': 132, 'Difficult': 120, 'Third Person': 119, 'Singleplayer': 101, 'Mechs': 82, 'Violent': 74, 'Hack and Slash': 67, 'Open World': 63, 'Robots': 60, 'Exploration': 48, 'Cyberpunk': 39, 'Action RPG': 33, 'Gore': 31, 'Adventure': 30, 'Horror': 23, 'Futuristic': 22, 'Multiplayer': 9}"
